Ref;Localite;Pays;ID;Source;Sondes;StructureEn;StructureFr;Isolation;CombWood;CombBark;CombLeaves;CombStraw;CombGrass;CombReed;CombPalmFronds;CombPalmLeaves;CombPalmNuts;CombRiceHusks;CombMilletHusks;CombMilletStems;CombBalesSorghum;CombCornStalks;CombSawdust;CombCharcoal;CombKerozene;CombDung;NbPots;Diametre;Hauteur;Interruption;PostCuisson;Duree;TMin;TMoy;TMax;VChauffe;D700;D800;D900;D1000
91;0;Soudan;3;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
92;0;Soudan;4;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
93;0;Soudan;5;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
94;0;Soudan;6;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
95;0;Soudan;7;Tobert 1984a;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
96;0;Soudan;0;Tobert 1984b;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
97;0;Inde;0;Miller 1985;0;Pit;fosse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0
98;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;828,5;883;9,0;0;0;0;0
99;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631;786;941;8,5;0;0;0;0
100;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;674;840;1006;9,1;0;0;0;0
101;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;770;852,5;935;9,3;0;0;0;0
102;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715;807,5;900;8,8;0;0;0;0
103;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;735;834;933;9,1;0;0;0;0
104;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;897;1014;9,8;0;0;0;0
105;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;727;877;1027;9,5;0;0;0;0
106;0;Mexique;0;Sheehy 1988, p. 215;2;Kiln;four;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;493;668,5;844;7,3;0;0;0;0
